generation,population size,mutation rate,generations,fitness,best path
138,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 3, 2, 3, 2, 0, 2, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 3, 0, 2, 0, 2, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 2, 2, 3, 1, 1, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 3, 2, 3, 3, 2]"
139,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 3, 1, 2, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 2, 0, 2, 1, 0, 1, 0, 2, 1, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 2, 3, 3, 3, 3, 2]"
140,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 3, 1, 2, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 2, 1, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 3, 2, 3, 3, 2]"
141,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 1, 2, 3, 3, 2, 3, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 2, 1, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 2, 0, 0, 3, 3, 2, 3, 2, 3, 3, 2]"
142,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 3, 1, 2, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 2, 1, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 2, 3, 3, 3, 3, 1]"
143,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 2, 3, 3, 1, 2, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 2, 1, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 2, 3, 3, 3, 3, 3]"
144,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 2, 3, 3, 1, 2, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 2, 1, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 2, 3, 3, 3, 3, 3]"
145,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 2, 3, 3, 1, 2, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 3, 1, 1, 0, 2, 2, 2, 0, 2, 3, 0, 2, 2, 2, 0, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 2, 0, 0, 3, 3, 2, 3, 3, 3, 3, 3]"
114,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 0, 3, 0, 2, 0, 0, 1, 0, 1, 1, 0, 2, 0, 3, 0, 1, 2, 1, 3, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
115,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 0, 3, 0, 2, 0, 0, 1, 0, 2, 1, 0, 2, 0, 3, 0, 1, 2, 2, 3, 1, 1, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3]"
116,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 0, 3, 0, 2, 1, 0, 1, 0, 1, 2, 2, 2, 0, 3, 1, 0, 1, 1, 3, 0, 0, 3, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
117,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 0, 3, 1, 2, 1, 0, 1, 0, 1, 2, 2, 3, 0, 3, 0, 0, 1, 1, 3, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
118,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 3, 0, 2, 1, 0, 0, 0, 1, 2, 2, 2, 1, 3, 1, 0, 1, 2, 3, 0, 0, 3, 0, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
119,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 3, 0, 1, 1, 0, 0, 0, 1, 2, 2, 2, 1, 3, 1, 0, 1, 2, 3, 0, 0, 3, 0, 2, 1, 2, 2, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
120,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 3, 0, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1, 3, 1, 0, 1, 2, 3, 0, 0, 3, 0, 2, 1, 1, 2, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
121,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 3, 0, 2, 1, 0, 0, 0, 1, 2, 2, 2, 1, 2, 1, 0, 1, 2, 3, 0, 0, 3, 0, 3, 1, 2, 2, 0, 2, 2, 2, 1, 1, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
122,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 2, 3, 0, 1, 1, 0, 0, 0, 1, 1, 2, 2, 1, 3, 1, 0, 1, 2, 3, 0, 0, 3, 0, 2, 2, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
123,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 3, 0, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1, 3, 1, 0, 1, 2, 3, 0, 0, 3, 0, 2, 1, 1, 2, 0, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
124,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0, 1, 2, 2, 1, 1, 3, 2, 0, 1, 2, 3, 0, 0, 3, 0, 2, 2, 2, 1, 0, 3, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
125,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 2, 2, 1, 3, 1, 0, 1, 2, 2, 0, 0, 3, 0, 2, 2, 2, 2, 1, 2, 3, 2, 1, 2, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3]"
126,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 2, 1, 1, 0, 0, 0, 1, 3, 2, 0, 1, 3, 2, 0, 1, 2, 3, 0, 0, 3, 0, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 0, 1, 0, 0, 0, 0, 3, 0, 0, 3]"
127,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0, 1, 3, 2, 0, 1, 3, 2, 1, 1, 2, 3, 0, 0, 3, 0, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
128,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 0, 1, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 0, 2, 1, 3, 0, 1, 3, 2, 0, 1, 2, 3, 0, 0, 3, 0, 2, 2, 2, 1, 0, 2, 2, 2, 1, 2, 0, 1, 0, 0, 0, 0, 3, 0, 0, 3]"
129,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 2, 0, 2, 0, 0, 0, 1, 3, 2, 0, 2, 3, 2, 1, 1, 1, 3, 0, 0, 3, 0, 2, 1, 1, 1, 1, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
130,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 3, 2, 0, 0, 0, 0, 0, 3, 0, 2, 2, 1, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 0, 1, 3, 3, 0, 1, 3, 2, 0, 1, 2, 2, 0, 0, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
131,1000,0.2,150,4300,"[0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 0, 1, 0, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 1, 0, 2, 1, 2, 2, 1, 2, 0, 1, 0, 1, 3, 3, 0, 1, 3, 2, 0, 1, 2, 3, 0, 0, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
